rating	effectiveness	benefitsreview
1	marginally effective	"only real success of the treatment has been that i stopped ""zoning"" out into a semi-conscious state.  absolutely horrible results relating to depression, weight gain, pain in joints & muscles, and fatigue."
10	highly effective	better heart condition, stronger bones taken along with my calcium
9	highly effective	i was more alert during the day.
7	highly effective	helped with acne but long term use darker her teeth due to sunlight exposure and a reaction with the doxycycline and the tertiary enamel still being laid down inside the tooth.  long term i gestation of this drug combined with sunlight exposure might darken teeth over years
9	highly effective	drastically reduced the amount of time the cold sores were present on the side of face.   medication also made the cold sore break out less severe 
3	marginally effective	i didnt notice any benefit at all. supposedly, it was to help keep my mood balanced.  more than anything, i was focused on the very apparent and prevalent side effects.
4	considerably effective	i only have mild acne, but it was immediately cleared up within a few days of taking 
9	considerably effective	pain relief allowing uninterrupted sleep.
7	considerably effective	the medicine gave me that added energy to feel good during the day and to have the energy to keep up with me 4 year old son and 3 year old daughter. it didnt make me jittery. it just boosted my energy. it did give me considerable dry mouth. i did notice that i would be a little more tired if i didnt take it for a couple of days. i think it is mildly addictive. overall, i gained more benefit from it than negatives. i did worry about blood pressure because it did seem to increase my heart rate  i would recommend it to those who suffer from mild depression and/or just need a little extra energy boost. the medication is actually to treat narcolepsy, a condition in which a patient falls asleep at random times and has trouble staying awake.
8	highly effective	the major benefits of taking the prescribed dose of effexor was rapid relief and of my core and chronic anxiety and secondary depression. it was very severe and i had tried many other psychotropic meds on the market without success.
10	highly effective	excruciating ear pain began to improve within minutes of taking the first pill.  ear pain continued to diminish and was eliminated by day 4.
7	moderately effective	"i've been on meds for depression/anxiety for over 20 years and have tried many medications and combinations. nothing has ever effectively controlled my depression but lamictal seems to have stabilized my condition at a tolerable level. i am more mentally ""resilient"".....i don't stay down too long; im able to bounce back quickly from a depressive state. im also taking mirtazapine (30mg; 2 a day). maybe it's the combination that helps. i was recently taking and mirtazapine and was terribly depressed. i quit taking the and began lamictal and had and a very quick improvement."
10	highly effective	complete suppression of heartburn
10	highly effective	the benefits of the treatment are clearer, even toned facial skin.  much firmer and healthier looking skin.
10	highly effective	as for polycystic ovary syndrome patient, the main goal of the treatment was to regulate ovulation, and to regulate menstrual period. after 4 months of treatment (only 2 months therapeutic dose), i become pregnant and now have a beautiful son.
3	moderately effective	cleared up most of the symptoms for the 10 day period for both periods on it.both terms that i took the drug, the symptoms returned 2 days later with very intense pain then weakened over the next week... still sick now for the 7th straight
10	highly effective	much more focused when taking medication. able to complete a task before starting another one.  more attentive to what is happening/being said around me. less impulsive (e.g., when not taking, will start singing or behaving silly at inappropriate times)
10	considerably effective	the treatment benefits were a noticable reduction in nasal symptoms of runny nose and itching. additionally, i had no nasal pressure or headaches due to same. the drug needs to be taken daily. i would take it for a month at a time. it started working within two days after noticing my allergy symptoms flaring up (when christmas tree came into house and in spring when trees pollinate.)
7	considerably effective	decrease in  reduction in blackheads, congestion.
10	considerably effective	i first started taking tramadol when a doctor prescribed it for some back pain i had been experiencing.  but then i continued to take it because it really relieved my depression.  it is a great mood enhancer and i have had a lot more energy and enthusiasm since taking it.
9	considerably effective	i feel much better and this is only the second day on the medication. when the prednisone is in my system it feels like i am almost completely better. once it wears off (before my next day) i am still sick but better than the day before.
3	considerably effective	throat infection cleared up by the 2nd day of treatment.
9	considerably effective	"after adjusting to the medication, focus and alertness improved significantly.  fatigue and trouble ""becoming bored"" disappeared and i was above to focus on school studies and work for the first time in many many years.  no stimulant effect was felt, but it even became fun to actually sit down on a couch and just read a book."
1	ineffective	no benefit still tired short of breath losing hair can't lose weight loss of libido
9	highly effective	i'm  taking better care of myself and my appearance. im interacting with people and don't feel so detached from others. im starting to look forward to things again after feeling numb for so long.minimal side effects and only lasted a few days. i couldnt tolerate any other anti-d's that i tried because of side effects.
10	highly effective	alleviation of symptoms associated with hypothyroidism: weight gain, hair loss, fatigue, and so on.  further, medication was taken during pregnancy with no apparent ill effects to the fetus, and with the benefit of carrying to term with none of the adverse effects associated with hypothyroidism and pregnancy.
10	highly effective	cleared up the uti quickly and completely with no side effects
8	considerably effective	i had increased focus the first day, and after a short trial of ritalin ir i appreciated the consistency of the  the medication didnt give me the same up and down emotionally (which is great when you are trying to lead a family) but i did give up some of the motivation that accompanied ritalin, i was hoping for the coverage but have settled into a routine,  of dose of at 7 feeling affects about 40 min later and then feeling foggy at 2.
10	considerably effective	acid indigestion daily not impacted by over-the-counter medications. used as prescribed, majority of acid indigestion is gone.
3	ineffective	we had to go back to the doctor and my son finally got diagnosed with pneumonia and was hospitalized immediately
8	considerably effective	the benefits of the treatment were that the blood sugar level that were very high in the beginning of the treatment went to controlled level. (it is controlled with the use of the medicine. i do not know what happens if i stop taking the medicine.)taking the medicine also helps in controlling hunger and so it help in having three meals, on regular times.
4	moderately effective	made skin moderately better for a few months
1	ineffective	none
6	moderately effective	to reduce high blood pressure. to reduce pain and inflammation of rheumatoid arthritis
9	considerably effective	it alleviated my severe depression related to an extended period of high stress events in my life.  the depression was debilitating.
10	highly effective	acne cleared up. lines, wrinkles disappeared. generally i looked/look 15 years younger!
10	highly effective	i was able to live a normal life. tachycardia disappeared.  anxiety and all other symptoms related to depression were under control.
7	considerably effective	initially weight loss of 4 stone and an increase in energy and confidence. after stopping the drug there was a gradual weight gain of until weight settled and has been maintained for 3 years. health has improved and an increase in fitness and regular exercise has been maintained.benefits have outweighed the side effects as all other attempts over the years to lose weight had failed, and there is a family history of heart disease.
9	highly effective	seemed to take effect after the first dose. i noticed a considerable reduction in my anxiety and feelings of sadness. i was able to overlook the little things where as before they would really get to me. i was having all kinds of muscle twitches so i went to see my doctor who examined me and decided it was due to my stress levels. i am a mother and a wife and i was reluctant to take anything to help with my situation but am now glad i did.. i am only a week into it so i guess time will tell. but so far i am happy with the results.
2	moderately effective	while on the drug, i experienced some level of mood stabilization, marked by a greater ability to 'flow with' daily stress.
10	highly effective	eliminated nicotine cravings and made smoking cessation very easy.
10	highly effective	helped to stay awake, without the side effects that i had when i used to take dexedrine, like jittery, agitation, dry mouth
8	considerably effective	i have a great reduction in stomach acid problems. when i've tried to use natural products like alo vera juice or licorice-based products, to take care of the problem, it is very difficult, and i have to take products throughout the day to have any success whatsoever. so taking one pill first thing in the morning holds me most of the day, though i often begin to get some acid in the evening.
7	considerably effective	decrease in depression and suicidal thoughts. gives more energy to be productive in life. feel more positive and less inclined to take naps during the day to escape from depression.
7	moderately effective	i started noticing changes on my back
8	considerably effective	i grew about half my hair back on top of my head.
1	highly effective	really cut down the tooth infection/pain and swollen glands, during the first course of treatment i did not have any side effects at all.
9	highly effective	reduction in severity and duration of migraines
9	considerably effective	decreased symptoms
2	ineffective	i was prescribed this after i decided to quite narcotic pain killers.  i was taking fairly large doses of and switched to voltaren   they will not touch my pain.  i guess i have a high tolerance for pain meds.  i don't believe they would be effective for people with chronic moderate to severe pain.
8	considerably effective	being able to sleep/decrease anxiety surrounding  getting to sleep and staying asleep. also taken during times of high anxiety. helped to control anger outbursts and uncontrolled anxiety.
8	considerably effective	i had been on many different treatments for depression throughout most of my adult life and the side effects seamed to outweigh the benefits.  since starting to take wellbutrin my sex drive returned, my ambition and motivation returned.  on my last medication i was going to sleep at 8 p.m and sleeping until morning then requiring a nap in the afternoon and now i sleep 7-8 hrs a night and have enough energy to get through most of my days.  i had a 5 lb weight loss in the beginning that i have maintained.  over all i feel i am managing my depression better than i have at any time in the past.
8	considerably effective	reduced pain in legs and forearms, and blocked the pain from the arthritis in my lower back.  the pain in my legs from the rls is considerably   i also was in chronic pain from my arthritis, but can now move around without any pain, (unless i lift or do any type of work that is strenuous), but i used to be in so much pain that i would cry, so it was definitely worth it for me to take neurontin.
5	highly effective	very easy birth control method. you don't have to worry about taking a pill every day. day to day i can't feel it at all and my husband can't either. stays in place.
9	highly effective	fast- acting, works in 15-20 mins.
6	moderately effective	treatment benefits were to address pain and discomfort.  it was prescribed to me after i was in the hospital instead of (spelling?), as does not suite me well.  the medication began working after about 45 minutes of taking it and (for me) lasted over 6 hours.
9	highly effective	able to sleep through the night
8	considerably effective	"controlled itching in eyes, nasal and chest congestion, and ""tickle cough"" very well"
9	highly effective	lifted depression, calmed violent mood swings
9	highly effective	i have severe pain in my lower abdomen that was so strong i couldnt sleep nor move around very well. luckily i sit mostly at work so i was able to deal with a little while, but eventually i went to the er and they prescribed me this. which i have never heard or taken before.
10	highly effective	paxil quickly improved my depression and also helped with mild anxiety issues i was experiencing.  i was very pleased with the speed with which my depression improved.  within four weeks i was feeling better than i had felt in a very long time.  i have been on it for two months and am still improving.
1	ineffective	while taking zyprexa, i never experienced any episodes of hypomania (low mania) which typically accompany bipolar type ii; however, i attribute this mostly to the fact that zyprexa is very sedating. it should be noted that although zyprexa is classified as an a-typical antipsychotic, it is also used as a mood stabilizer in patients with bipolar disorder.
1	marginally effective	possible slight improvements in texture.
9	highly effective	considerable less craving for alcohol
5	moderately effective	focus is better during school. he is able to take test better. weekends and summer breaks are great while the pill is working.
8	highly effective	frova eliminated migraine headaches and the effect would last 24 hours.
1	moderately effective	stopped sweating, but the drying effect brought a very dry mouth and throat as well as side effect
7	moderately effective	i experienced less depression, increased libido plus the added benefit of decreased desire for cigarettes.
8	marginally effective	slowed heart rate, lowered blood pressure and helped eliminate head-aches that i attributed to increasing bp.
5	moderately effective	stopped bleeding and relieved some abdominal cramps.
10	highly effective	trazodone allows me to fall asleep within ten minutes and sleep through the night, awaking in the morning without grogginess.
9	highly effective	i had tried every over the counter product for acid reflux and none of them worked. i also have tried other prescriptions for acid reflux and none have worked for me as well as prevacid has.
10	highly effective	the patient's was able to see positive effects in 2 weeks time.  she noted an improvement in mood, spouse noted a reduction in symptoms relating to premenstrual syndrome, and a return of normal sleep patterns.  overall return of positive mood and enjoyment of previous activities.
9	highly effective	taking tramadol has resulted in the effective management of chronic pain due to severe tmj.
10	considerably effective	the drug caused the depression to recede to the point that i was able to function normally. the libido lowering effects of a prior antidepressant (ssri) were alleviated completely. i was able to lose excess weight gained during treatment with the other ssri
8	considerably effective	decongestion, elimination of sinus pressure and tearing of eyes
5	marginally effective	mild lightening of age and sun spots.
9	highly effective	weight loss of over 10 pounds in 4 months, continuing weight loss at a gradual rate (need to lose 40 pounds total).  complete curbing of sugar and carbohydrate cravings, increased appetite control, cessation of binge eating patterns.
9	moderately effective	the treatment benefits were that the relieved the sinus infection around the 4th day and by the seventh day my sinuses felt better. the seemed relatively mild as i did not experience any intestinal discomfort, bloating or cramping that i have experienced with other antibiotics.
10	highly effective	this spray clears the nasal passages to promote free breathing. i've tried over the counter remedies but they are harsh and you end up practically addicted to them. this works much the same way but is non-addictive and need only be used when symptoms hit. i have used this same product when i've had a head cold and achieved the same results. im pretty sure that's not what it's intended for but whenever i've got sinus pressure, i take this product.
10	highly effective	my blood pressure stayed in the normal range. the headaches i was having from hypertension subsided.
10	highly effective	very quick sleep induction within 30 minutes, frequently even faster.  no grogginess in the morning, felt very refreshed.  i also took the medicine to aid in jet lag and during long flights.
10	highly effective	within 1/1-/2 months i am now starting on 2 pills at night which is 3 mg. the pain that i normally get in my chest (from my crohn's) is gone. i feel better and i am not as tired. it is a wonder drug and i wish they would run more trials so more people can gain the benefits of this drug. other drugs started out this way and were tested off label for other diseases, why not ldn.
2	highly effective	lowered blood pressure
5	highly effective	prevented a recurrence of the leg and lung clots during the period of therapy and helped the body stabilize long enough to repair and/or work around the damaged areas, eventually resulting in elimination of pain and swelling.
8	highly effective	i suffered swollen and extremely sore throats with lots of mucus gathering up at the back of my throat. because of this, i ended up having my tonsils and adenoids removed separately but this did not help at all. i also relieved several treatments for antibiotics but this was wasted as all they did was lowered my immune system. after being diagnosed with an airborne allergy, i took one tablet daily, they worked on the first day and completely helped.
3	moderately effective	fell fast asleep for the first few months, then i had to keep upping the dose and addiction set in. i had a horrible time with withdrawal symptoms  i experienced sever while under the influence of ambien and i hand morning hangover. it also agitated me and i experienced anxiety.
6	considerably effective	acid in the stomach was reduced so that the reflux was kept under control.  therefore there was little of no chance of irritation of the esophagus.
2	ineffective	none, side effects that were intolerable were an increase in appetite and decreased libido
9	highly effective	xyrem has been life-changing for me and more than i could have ever hoped for.  i spent most of my life completely exhausted and desperately tired.  the worst part was, i always just thought i was lazy.  even after i was diagnosed, and was on provigil (i was taking provigil only for years before xyrem)i still questioned if i really had a sleep disorder and thought that perhaps i was just lazier than everyone else.  now that i take xyrem, i know that i really do have a sleep disorder because xyrem has changed my life so much.  i could have never imagined how much better and easier life is with a good nights sleep.  without xyrem, i spend most too much time in rem sleep.  i would dream constantly, beginning almost immediately after i would fall asleep.  almost every morning i would wake up and still be in a dream.  xyrem forces me into nrem sleep and it has made all the difference for me.
10	highly effective	lamictal is by far the best medicine that i have been prescribed  it almost has completely controlled my depression which was very severe, and has almost completely controled my mania. i still get slightly hypomanic, but this has not been a problem for me.
8	considerably effective	the skin rash was better
9	highly effective	sore throat healed due to reduction in stomach acid
10	highly effective	improved metabolism, decreased depression, increased energy, decreased hair loss, and improved finger/toenail condition.
8	considerably effective	more energy better memory and concentration and clarity
8	considerably effective	less reflux acidity
9	considerably effective	cosopt reduced my ocular pressure in both eyes by nearly one third which pleased my eye doctor. the treatment benefits are long term. reducing ocular pressure will prolong eyesight by preserving the optical nerves. sorry not 50 words.
7	considerably effective	worked extremely well at preventing out breaks. an out break would come on and id start taking it and it would be gone withing 48 hours if i took it properly.
8	highly effective	when applied correctly (i.e. minimal amount and mixed with a lotion that spreads well) it has been great for controling breakouts and reducing wrinkles and sun spots.
9	highly effective	i added this medication 8 months after i began monthly infusions of  alone gave mild improvement in symptoms of severe rheumatoid arthritis. (i had extensive and severe joint pain and inflammation, severe edema in legs due to knee inflammation, and had very limited mobility.) within 6-8 weeks of beginning (and still continuing , symptoms began to decrease significantly, and my lab values improved dramatically. as i write this i have very little pain and inflammation, and much more mobility than before - even considering the joint damage i've sustained. recently, i tried reducing my dose of to 10 mg/day. after 4-6 weeks or so, i began to have more symptoms. when i resumed the 20mg/day dose, symptoms decreased dramatically again - in about 6-8 weeks.
8	highly effective	toenail fungus was gone after 3 months of medication.
1	marginally effective	supposed prevention of catching swine flu
5	marginally effective	i haven't noticed too much of a difference so far.
1	ineffective	i really did not see any benefit in taking the medication.  however, this may have been because i was unable to tolerate it for any length of time.
3	marginally effective	could focus slightly better in school and also at home
1	ineffective	the ointment is easy to apply once the user realizes that the ointment is very thick, although on the face is ineffective or must be prescribed only for those conditions it has proven to resolve. in my case,  the rash continues to spread across the face.
3	ineffective	none
7	considerably effective	the treatment benefit is to control the glucose in my blood, along with a healthy diet and avoid sweets and starches.
9	highly effective	an almost complete cessation of pain in any arthritic place where there was not already significant joint damage.  more flexibility, more function, less exhaustion.  the difference was huge and still is.
9	highly effective	lack of pain
5	considerably effective	very effective allergy relief for hay fever
8	considerably effective	anxiety is supressed but not gone depression is 100 percent gone
8	considerably effective	i found that this drug immediately released alot of emotion - which was suprising.  i wept for about a week - i had no idea what was going on at first, and then i realized that - i could actually feel my emotions.  i felt normal and healthy.  i regret going off of this drug too soon, as i did.  i switched to wellbutrin, which was not a good idea.
8	highly effective	severe symptoms of cold sores around the mouth were reduced and cleared up within 5 days.
9	highly effective	manic episodes have been minimised! although having to increase my dosage gradually to get rid of the highs altogether.  also puts me to sleep, whereas i used to be awake most nights from mania.
9	highly effective	less pain, less inflamation, slows down degeneration of disease. can function normally where before had severe pain in joints, especially in feet, knees, and made it extremely hard to walk, wear shoes, bend at knees.
10	highly effective	less tired, more optimistic, more energy, no more depression
7	highly effective	relieved the plaque psoriasis which was over 90% of skin and extremely uncomfortable.
10	highly effective	very alert and extremely focused. i have a tremendous amount of energy with absolutely no jitters. my memory has improved and my production at the office has skyrocketed. i've been taking it for three months and it works as well as the first day i took it. it may not work for everyone but it works wonders for me.
1	moderately effective	the drug did help with the temporary depression.
1	ineffective	no treatment benefit, because the complete prescription was not used because of adverse side effects.
9	highly effective	to reduce the inflammation of the nasal polyp. by doing so, this should allow me better breathing. i was experiencing sleeplessness, due to inability to breathe well and also to have to sleep in a propped up position. following the steroid treatment, i was able to sleep well again without all the snoring.
8	considerably effective	i usually slept through the night and did not experience drowsiness the next day.
10	highly effective	my mood swings decreased, i was less irritable.  when i would be blue, i would not go into a deeper depression.  it just evened me out.  i also had a head injury and it seemed to help in the recovery from that.
7	highly effective	i struggled with adult acne for 10 years and nothing worked for me. when i started taking this medication my acne completely cleared within 2 months and whenever i stop taking this medication it comes back within a few weeks and then will go away again when i start taking it again.
9	highly effective	"after battling w/moderate depression for many years, this drug is a miracle for me! it stopped the " hamper wheel in my head"" anxiety i had, i feel mush calmer, i can focus on what is important, and i no longer have such emotional hypersensitivity that i used to. it helps me feel like the ""me"" that i had lost for a long time, but i have never had a ""medicated"" feeling from it,as i did with other antidepressants i previously tried."
4	marginally effective	heartburn was lessened, but new symptoms began (possibly side effects) which made a new set of problems. severe heartburn occurred 5-7 times a week before treatment, and was brought down to 2-3 times a week during treatment.
10	highly effective	since i was very young, a child, i suffered debilitating headaches.  often they became true migraines.  they would last for days and days, sometimes weeks without stop.  i missed school, parties, holidays.  i was scared to make do anything fearing the pain.  i pretty much went to bed with some degree of head pain and woke up with it everyday.  i had no clue what it would be like without them.  sometime late in 1999 i went to my pharmacy to pick us some  that were not working anyway, and one of the tech who suffered headaches constantly was smiling and seemed so different.  her eyes were wide open   she seemed happy, etc.  she told me her doctor had put her on within days her headaches subsided.  i went straight to my pain management physician and asked for elavil. two weeks later i started going whole days without head pain.  i went to sleep easily and slept till morning.  i looked forward to doing things.  i woke up without pain.  what a miracle!  i had only two or three actual migraines in the last eight years.  when i do get a slight headache it usually disappears within a short time without additional meds.  needless to say my entire life changed. i am a better wife, mother, daughter, friend.  i take the generic and notice no difference   thank you elavil.
7	considerably effective	when he first started using the medication we saw remarkable results.  as time has gone by the results don't get any better, but it does keep his flare ups to a minimum and he doesnt ever have the big painful sores.
10	highly effective	when bmi rating is over 27 its time to get that taken care of before it goes beyond that. i have taken in my 20's and lost 30 pounds in 6 weeks. i keep it off until i turned 43.  you have to exercise or this will not work. i am not a fan of exercising but when you get the burst of energy get up and move. if you are stuck behind a desk.. turn from side to side... do stretches.. then at lunch or break move!!! there are so many looking for the magical drug for weight loss but there is none. exercise is the magical word.so get up and move it. walk.. dance.. or you will be stuck at the same weight. it takes work.. and a lot of it. it amazes me how there are those expecting a miracle in a pill. not that way at all but it is a aid to get to your goal
8	considerably effective	for the most part the pain was taken away just enough that i could function.  i like that it's not a narcotic, yet gives some of the benefits of one.
7	highly effective	increased concentration and attention span, reduced appetite. material studied remained more solidly in short-term memory.
7	considerably effective	minimized pigmentation if not absolved them altogether. good results for both hypo- and hyper- pigmentation.
8	considerably effective	due to a car accident i sustained head injuries in addition to physical body injuries (broken bones, etc.)  i had terrible mood swings.  through the assistance of a psychiatrist subscribing zoloft, gradually i became calmer.  i didnt cry as often for no apparent reason or get irritated at the drop of a hat.  my short term memory returned and i became less self conscious.
9	highly effective	the treatment benefits included rapid pain-relief from the uti.  pain and symptoms of the uti disappeared after the first week.  the drug was taken to completion to prevent reoccurrence 
8	highly effective	contraception
10	highly effective	initial ldl cholesterol reduced from 320 to 230 after 60 days. continuing to take pravastatin to further reduce ldl cholesterol.  hdl cholesterol is within normal range. change in diet and weight reduction as recommended by doctor is contributing to adjustment of cholesterol levels.
10	highly effective	i felt so much better on the prednisone, in the first 30 days, i could breathe easier and i did not get the severe dizzy spells i had been having
8	highly effective	nothing has worked in relieving my migraine pain but i took imitrex when i felt a migraine coming on and within a half hour my migraine was completely gone
4	moderately effective	hairloss slowed down a little compared to before, but every now and then it came back. it might be normal shedding which some would say is a good thing. sex drive went down. i also felt i was developing man boobs, i dont know if this was just in my head but i felt as if my pecs lost some definition. i therefore stopped taking the medication last month. have yet to see improvement in sex drive but hope it will come soon
7	considerably effective	the benefits of taking lexapro, for me, were noticable within a few weeks at the very most. i wasn't as on edge. i wasn't as anxious. i haven't had any more anxiety attacks and lexapro has helped me.
8	considerably effective	acne decreased significantly when used in combination with the antibiotic erythromycin. the addition of spironolactone cleared up the acne that seemed to be triggered by fluctuating hormone levels. it also increased breast size.
10	highly effective	stopped seizure activity immediately, even during titration.  occasional aura (pre seizure activity which are actually seizures themselves), during high stress, or situations that trigger photosensitivity.
2	marginally effective	a little better than nothing.
8	considerably effective	i am an athlete, tennis pro and avid golfer. i experienced inflammation and swelling post knee surgery (tibia plateau fracture). walking an 18 hole golf course can be painful for me, even after a year post surgery, i was in search of pain relief to continue playing a sport i love. celebrex reduced my inflammation and stiffness and allowed me to play pain free.
8	considerably effective	when i started taking zyrtec i had severe sore throat pain that i thought might be strep throat.  it turned out to be environmental allergies.  while i was taking claritin for about a year, it wasn;t having any effect on these allergies.
10	highly effective	it calms down the need to scratch,,gives me the ability to sleep at night,,,it also relieves my allergy symptoms(cough,sneezing,running nose)in general,,it keeps me from going out of my mind...when i don't use is the itching will drive me up the wall. it mellows my mood,allowing me to act and react with others..
6	highly effective	it really helps me focus better than my previous adhd meds. (concerta  i am a very spontaneous person (sometimes maybe slightly annoying) i really had trouble concentrating in school and remembering what we learned. i was always forgetful, but now after taking it a few days, i nearly never forget anything. and i remember the material covered in class.
9	highly effective	immediate relief from my and a modest decline in blood preassure
7	considerably effective	significantly reduced migraines frequency and severity
1	moderately effective	none
1	ineffective	none
10	highly effective	reduced inner eye pressure which has slowed or possibly eliminated the disease. at the very least, the symptoms of glaucoma immediately improved to normal and have remained at the normal range.
1	ineffective	none
9	highly effective	very effective at preventing pregnancy.  also regulated menstrual cycle length and helped relieve acne.  the best part is that you only menstruate 4 times a year, as opposed to 12 or 13.
7	highly effective	while i did not have active tuberculosis, i had tested positive.  taking isoniazid will prevent a future case of tuberculosis from developing.
5	considerably effective	relieved the pain
10	highly effective	lowered my cholesterol from 225 to 156.  excellent results
8	highly effective	the instructed me that by taking the antibiotic, it would surround the thus preventing further spread if the infections to other body parts.it really worked except that a nodule was left at the site of the boil. however, the drug gave me severe stomach aches due to gastritis before i went back to the physician to get some 
10	highly effective	initially i had graves, then became post-treatment.  while i gained weight, had hair loss, was fatigued, cold and miserable.  getting on a correct dose of thyroid replacement is great.  my hair returned, i became more fit and active.
3	highly effective	the treatment benefits were that i did not get pregnant nor did i get a period. occasional spotting but nothing a couldnt handle.
8	highly effective	"xanax xr .5 once daily for 2 days. this med works within 20-30 mins. a good solution for fast anxiety relief, as opposed to waiting 2 weeks for it to ""settle"" into your system. i think i might have done fine with .25 instead of the .50.however, just reading about other people's anxiety accounts and xanax has given me anxiety!"
9	considerably effective	well i started having acne by the age of 18, but it wasnt like normal acne,big and red, it would only stay on the surface of the skin and it was white,it was like little dots all over my face.i used all the creams you could imagine but none of them worked,or would work for a few days and the pimples would come back again. i went to this dermatologist and he said that what could be causing my acne is the hormones balance, (if you have too much feminine or masculine hormones it can cause acne)so he said i could try to take birth control pill to balance my hormones. and so i started. in the first month my acne got worse,but i still kept taking yasmin(birth control pill), on the third month i started noticing that my skin was clearing from all those pimples.i have been taking it for more than 6 months now and i have no acne! sometimes one or two comes out but it goes away in 2 days.so yasmin worked for me and could work for you too!
7	moderately effective	skin seems to be producing more collagen and definitely has better texture and appearance. the low dose of hgh is something that needs to be considered as it really border a therapeutic level. the bad side is the cost...500 per month at 1 cc per day. for men i cant tell you how happy i am with the low dose testosterone / nandrolone (deca) combination ( 100 mg per week). and generally speaking insurance companies do cover injectable testosterone.
8	considerably effective	i have noticed a reduction in acne breakouts, particularly painful cysts.  i have also noticed improved skin appearance with more even skin tone.
1	ineffective	none
10	highly effective	zovirax is a highly effective treatment of cold sores.  i take it in significantly higher dosages than the package indicates and 70% of the time, the cold sore disappear within a day.
5	marginally effective	supposed to stop acid reflex, which it did for 2 days
4	marginally effective	"decrease in panic attacks (maybe these were hot flashes ... but didnt feel ""hot""). woke up less often at night from these same panic attacks."
5	highly effective	it's admittedly very good at preventing pregnancy...because well...it kinda stops the urge to have it.
10	highly effective	the pill was very effective and i felt the relief from the pain considerably right after taking the pill
10	highly effective	reduces anxiety/worry. really relaxes me and makes me feel much better and lets me sleep. i had major trouble falling asleep before taking this drug. now i sleep like a baby. very effective. taken as prescribed there are no problems. a few idiots abuse this drug and thus the drug has gotten a bad rap unfortunately. much better than ssri's with way less side effects. it really makes me feel great. i take the .5 mg fast acting version, not the long acting version. this way it clears my system quicker and i can take it as needed and not worry about tolerance.
10	highly effective	i started topamax right after approval due to ongoing generalized (grand mal) seizures that were resistant to other drugs. my was hoping this would be the one. we added it on to what i was currently taking at the time  and dilantin) and crossed our fingers. guess what? after reaching a day- i went from having 3-4 generalized seizures a week, to 3 total in many many years! unfortunately, i continued having partial complex seizures until we found the dilantin/lamictal/topamax combo (in the last 3 years) and i still have 1 or 2 of those a month.  i really owe my life to topamax. awesome drug. awesome awesome awesome.
7	moderately effective	helped the depression initially, was far more positive during the years i took it, but the efficacy of the drug began to  and the onset of new side effects led me to try to live without the treatment
2	ineffective	no treatment benefits
9	highly effective	experienced 1 migraine in the past year since on - before i was getting a migraine at least 6-7 times a year during periods.  not missing time with my family every month or work.
10	highly effective	always feel refreshed and clear thinking the day after.  i feel much better than i do on days i don't take it.
10	highly effective	it eliminated the pain in my lower back for 8 hours at a time and after taking the full corse it seemed to have reduced the inflammation causing the pain.
8	considerably effective	"my cholesterol levels were terrible.  i was around 32 years old with, as the doctor said, ""the cholesterol of a 40 year old man.""  it may have been partly due to my crohn's disease (which was flaring) and the weird way my body was absorbing nutrients at the time. over the past 4 years my hdl levels have been significantly higher, and my overall cholesterol has moved into the acceptable zone (though not as good as i wish it was)!"
9	considerably effective	"significant reduction in cramping, stiffness, and ""knots"" in muscles."
5	considerably effective	treated a uti bactrim did not
10	highly effective	correction of thinning of hair, feeling cold all of the time, and feeling emotional.  improvement in fingernails.  correction of insomnia
8	considerably effective	tramadol was prescribed for severe neck pain due to a bone spur that had grown into a nerve root in my neck. it was the only drug that could give me any relieve before i had surgery to fuse the vertebrae between c6 and c7 in my neck. it did not eliminate the pain completely, but made it very tolerable.
3	moderately effective	my improved considerably, which speaks to the efficacy of the treament because i only used it for 7 days.
7	highly effective	to help clear the airways after suffering from an asthma attack. improved my breathing for up to 6 hours after taking 2 puffs.
6	moderately effective	although the medication has decreased my tsh level, i am still fatigued and inspite of being active at my job, i cannot seem to lose weight.  i have extremely low energy level which i thought the synthroid would help.
9	highly effective	"no exacerbations since starting during summer of 2008 after 11 years on avonex (another ""disease modifying medications"" for ms."
9	highly effective	mood was more stable. better quality of sleep.
1	ineffective	i received no benefit from the medication.  my prescribing physician told me it would take a full six months of this medication taken daily for it to be effective.  that's not going to work for me.
10	highly effective	i feel that chantix is the best way to quit smoking. it was prescribed my my doctor. i smoked for 30 years. the only time i quit during that 30 years was when i was pregnant. i always started back up within a year. this time i know i wont start smoking again.
10	highly effective	it help me get through the day with out a fast heartbeat. it calmed my nerves.
4	moderately effective	i believe i noticed some improvement in retaining information from conversations as well as from reading,including,but not limited to, books, magazines, newspapers. i also think i was clearer with regard to remembering events -the event itself, as well as the order in which things occurred in the particular event.
5	considerably effective	the infection cleared
10	highly effective	dramatic reduction in papules and pustules.
10	highly effective	i was able to go back to sleep after waking and then to get up in two hours without any grogginess or after effects. the sleep i had as a result of the pill was very restful. this drug allows you to take a pill in the early morning hours, go back to sleep and then get up at the normal time without any sort of hangover. it is wonderful.
7	considerably effective	sometimes it makes the difference to stress- related sleeplessness.
9	highly effective	lessening of most symptoms started within 2 weeks of taking the drug. weight gain stopped despite positive dietary modifications and weight stability occurred, there were less incidences of dry skin, and menstrual irregularities went away.
